StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Al concluir este Bloque con Sentido Humano,Vivir la experiencia de aprendizaje relacionada con un Objetivo de Desarrollo Sostenible,Nivel de sensibilización que aportó esta unidad de formación para la atención de necesidades sociales,Seguimiento y liderazgo que dio la organización socio formadora en el desarrollo de tu experiencia,"Herramientas que aplicaste como las actividades, reportes, ""quizzes"", dentro de la plataforma de CANVAS en el desarrollo de la experiencia de Servicio Social",Q2_6,Q2_7,Q2_8,Q5,Q9,Q6,Al concluir este Bloque con Sentido Humano,Vivir la experiencia de aprendizaje relacionada con un Objetivo de Desarrollo Sostenible,Nivel de sensibilización que aportó esta unidad de formación para la atención de necesidades sociales,Seguimiento y liderazgo que dio la organización socio formadora en el desarrollo de tu experiencia,Q3,Q7,CRN,Nombre de Experiencia,OSF,Periodo,Semana,Tipo de Formato
03/05/22 18:24,03/05/22 18:56,IP Address,201.175.205.121,100,1915,True,03/05/22 18:56,R_32Rs0C0cobVSRMu,@00010,,25.6759,-100.3208,email,ES-ES, 4, 4, 4, 3, 3, 3, 3, 3,No,Sí,Me gustó mucho la idea del proyecto solo que hubiera sido una buena experiencia tenerlo de forma presencial y realizar los planes de trabajo que creamos con nuestros beneficiarios.,"
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo",Siento que no nos explicaron muy bien lo qué teníamos que hacer y los de la organización no estaban muy al pendiente con nosotros.,Área de oportunidad,27977,UNO hace la diferencia,Centro VALIA,202211,1-2,Regular
04/05/22 8:47,04/05/22 8:53,IP Address,200.68.140.25,100,377,True,04/05/22 8:53,R_cNCzRzdykNDSWFb,@00011,,19.4498,-99.1569,email,ES-ES, 4, 4, 4, 3, 3, 3, 3, 4,Sí,Sí,"Un poco más de interacción con los estudiantes lograría que se logre un vínculo más fuerte con la causa, que podría resultar en la creación de una solución más eficiente. ", 4, 4,"
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo",La causa del servicio social fue buena ya que le daba oportunidades a los estudiantes d e podernos enfocar un poco más en las clases. Pero para mi punto de vista me hubiera gustado más tener la oportunidad de poner tener más contacto con mis compañeros y socio formador. ,Área de oportunidad,27972,Biblioteca Escolar de la Escuela Severiano Martínez,Fomento Prevocacional Severiano Martínez ABP,202211,1-2,Regular
04/05/22 17:51,04/05/22 17:56,IP Address,189.153.72.6,100,319,True,04/05/22 17:56,R_zf2AgRpNuswT9Dz,@00012,,25.7578,-100.4134,email,ES-ES,"
1 Nada Satisfecho", 4, 4, 4, 4, 2, 4,"
1 Nada Satisfecho",Sí,Sí,"No estoy de acuerdo y se me hace muy injusta la diferencia de horas de servicio social entre tec20 y tec21. Deberíamos de recibir la misma o lo más parecido posible la cantidad de horas posibles a acreditar ya que el trabajo, tiempo y dedicación invertidas es el mismo.","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo",Le estan dando muchas más horas a alumnos de tec20 que a alumnos de tec21 y nadie me puede decir la razon. A tec20 le dieron durante este periodo hasta 160 horas y a tec21 hasta 120. Se me hace algo super injusto ya que hacemos el mismo trabajo y el tiempo y dedicación invertido es el mismo. Le hice saber de esta situacion al area de servicio social de monterrey y no les importo. Super mal apoyo a los alumnos.,Área de oportunidad,28239,Prepanet - Tutor en Línea,Prepanet Monterrey,202211,1-2,Regular
05/05/22 7:06,05/05/22 7:09,IP Address,131.178.102.196,100,141,True,05/05/22 7:09,R_1hEzbLBq3s0ESOm,@00013,,25.6449,-100.311,email,ES-ES, 4, 4, 4, 4, 4, 4, 4, 4,Sí,Sí,Me gustaría que fuera más de un día el taller, 4, 4, 4, 4,"Una experiencia muy gratificante
",Reconocimiento,27967,Taller de Alebrijes y grecas Zapotecas,"Tierra de Artistas, A.C.",202211,2,Regular
05/05/22 8:10,05/05/22 8:14,IP Address,131.178.102.176,100,212,True,05/05/22 8:14,R_3scTEq5ApYBAzf5,@00014,,25.6449,-100.311,email,ES-ES, 4,"
5 Muy Satisfecho", 4, 4, 3,"
5 Muy Satisfecho", 4, 4,Sí,Sí,Me gusto la manera de hacer algo por la comunidad a través de actividades que diseñe yo., 4, 4,"
5 Totalmente de Acuerdo", 4,"Me gusto que la organización estuvo bien definida desde el inicio, las actividades fueron claras y no fue algo pesado o difícil de hacer.",Reconocimiento,27977,UNO hace la diferencia,Centro VALIA,202211,1-2,Regular
05/05/22 8:15,05/05/22 8:16,IP Address,189.218.237.204,100,72,True,05/05/22 8:16,R_1fdZzcPLOFfd96q,@00015,,23.7396,-99.1522,email,ES-ES,"
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho", 4, 3,"
5 Muy Satisfecho","
5 Muy Satisfecho", 4,Sí,Sí,Muchas gracias,"
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo",,,27973,Juguetes con causa,Laboratorio de Innovación Social Tutores de Resiliencia,202211,1-2,Regular
05/05/22 8:45,05/05/22 8:48,IP Address,131.178.102.176,100,161,True,05/05/22 8:48,R_3QRGBP4lI4G11a2,@00016,,25.6449,-100.311,email,ES-ES,"
5 Muy Satisfecho","
5 Muy Satisfecho", 4, 4, 4,"
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho",Sí,Sí,Todo el involucramiento estuvo bien,"
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo", 4,,,28243,CONEXIÓN AEB,"Asociación de Espina Bífida de Nuevo León, A.B.P.",202211,1-2,Regular
05/05/22 9:07,05/05/22 9:12,IP Address,131.178.102.172,100,298,True,05/05/22 9:12,R_2ZDFR5QoUyJDhvK,@00017,,25.6449,-100.311,email,ES-ES,"
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho", 4,"
5 Muy Satisfecho","
5 Muy Satisfecho", 3,Sí,Sí,"Las enseñanzas históricas no son solo para aprender sobre el pasado, si no para ser mejores personas en el presente y futuro. ","
5 Totalmente de Acuerdo", 3,"
5 Totalmente de Acuerdo", 3,"Desearía haber tenido la oportunidad de visitar y dar visitas guiadas en MUNE. Sin embargo, la actividad de la cápsula informativa fue de grande aprendizaje para mí, ya que tuve que generar un guion mediante la búsqueda de información en línea y en biblioteca digital. ",Reconocimiento,27976,historia de las mujeres,Museo de Historia Mexicana,202211,1-2,Regular
05/05/22 9:20,05/05/22 9:22,IP Address,131.178.200.61,100,102,True,05/05/22 9:22,R_3Gf9zJ0mpm2RJcz,@00018,,25.6449,-100.311,email,ES-ES, 4,"
5 Muy Satisfecho", 4, 4,"
5 Muy Satisfecho", 4, 4,"
5 Muy Satisfecho",Sí,Sí,Me parece muy interesante su causa,"
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo",,,27965,Taller de telares con técnicas artesanales oaxaqueñas,"Tierra de Artistas, A.C.",202211,2,Regular
05/05/22 10:27,05/05/22 10:30,IP Address,131.178.102.188,100,166,True,05/05/22 10:30,R_R2CzLUCrbbgusxz,@00019,,25.6449,-100.311,email,ES-ES,"
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho", 4, 3,"
5 Muy Satisfecho","
5 Muy Satisfecho", 3,Sí,Sí,Me gusta el labor que hacen. , 3,"
5 Totalmente de Acuerdo", 4,"
5 Totalmente de Acuerdo",,,27963,Descubre cuántas personas aprenden a hacer las cosas bien,"Hagámoslo Bien por una Cultura de la Legalidad, A.C.",202211,2,Regular
05/05/22 10:28,05/05/22 10:33,IP Address,131.178.102.204,100,290,True,05/05/22 10:33,R_V5aQhyzV37ct6St,@00020,,25.6449,-100.311,email,ES-ES, 4,"
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho", 3,"
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho",Sí,Sí,"¡Me encanta su labor social, su propósito y su compromiso! Incluso estoy pensando en quedarme de voluntaria en la organización aun cuando ya haya completado mis horas de servicio social

Mi única área de oportunidad es la exigencia con las responsabilidades y hay que considerar que los alumnos también tenemos otras cosas que hacer.","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","¡Me encanta la labor social, el propósito y el compromiso! Incluso estoy pensando en quedarme de voluntaria en la organización aun cuando ya haya completado mis horas de servicio social

Mi única área de oportunidad es la exigencia con las responsabilidades y hay que considerar que los alumnos también tenemos otras cosas que hacer.",Reconocimiento,28239,Prepanet - Tutor en Línea,Prepanet Monterrey,202211,1-2,Regular
05/05/22 10:34,05/05/22 10:40,IP Address,189.175.131.202,100,347,True,05/05/22 10:40,R_3DpfII0ZN3fWSoj,@00021,,25.7311,-100.3306,email,ES-ES,"
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho",Sí,Sí,Buen Trabajo,"
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo",Pues me gusto como es que daban las tareas y como organizaban los equipos para que estuviera todo organizado y bien estructurado.,Reconocimiento,28241,Crea una comunidad de profesores íntegros,"Hagámoslo Bien por una Cultura de la Legalidad, A.C.",202211,1-2,Regular
05/05/22 11:11,05/05/22 11:13,IP Address,131.178.102.204,100,105,True,05/05/22 11:13,R_3san7fLHi9QoRA5,@00022,,25.6449,-100.311,email,ES-ES,"
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho",Sí,Sí,Todo excelente,"
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","Fue una experiencia muy satisfactoria, el ver cómo nuestras acciones pueden apoyar el proceso de aprendizaje de nuestros alumnos e impactar en su vida es un gran logro personal. ",Reconocimiento,28239,Prepanet - Tutor en Línea,Prepanet Monterrey,202211,1-2,Regular
05/05/22 11:12,05/05/22 11:15,IP Address,187.161.117.250,100,187,True,05/05/22 11:15,R_Q6xngByPEo3VUA1,@00023,,25.6449,-100.311,email,ES-ES,"
5 Muy Satisfecho", 4, 4,"
5 Muy Satisfecho","
5 Muy Satisfecho", 4, 4,"
5 Muy Satisfecho",Sí,Sí,"Muy buena organizacion en las actividades, siempre estan al pendiente","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo",Las actividades te ponen a pensar en lo complejo que es buscar buen contenido ,Reconocimiento,28241,Crea una comunidad de profesores íntegros,"Hagámoslo Bien por una Cultura de la Legalidad, A.C.",202211,1-2,Regular
05/05/22 11:47,05/05/22 11:50,IP Address,189.213.148.87,100,167,True,05/05/22 11:50,R_3EnFhDJcfN9jEf7,@00024,,25.6732,-100.4581,email,ES-ES,"
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho",Sí,Sí,"Me gustó mucho la experiencia, convivir con los niños fue algo muy padre. ","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo",Me gustó mucho trabajar con el socio formador. Fue una experiencia muy diferente que nunca había vivido y me enseñó mucho. ,Reconocimiento,27975,Formando en la Resiliencia,Laboratorio de Innovación Social Tutores de Resiliencia,202211,1-2,Regular
05/05/22 12:17,05/05/22 12:25,IP Address,131.178.102.200,100,505,True,05/05/22 12:25,R_tSpPbmRQRxqkAs9,@00025,,25.6449,-100.311,email,ES-ES,"
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho",Sí,Sí,"Todas las actividades fueron retadoras, aunque hubiera estado bien tener un proyecto en el cuál trabajar más tiempo uno en concreto para tener más impacto y mostrar el cambio.","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","La segunda actividad tuvo más sentido, me agrado la idea de cooperar con otra organización para tner más en claro que es lo que se necesita en la ciudad y con la certeza de que se puede trabajar entre amas para futurtos proyectos.",Área de oportunidad,27951,ELIGE SUMAR,Emprendedores Líderes Generando la Evolución por México A.C. (Elige México),202211,2,Regular
05/05/22 12:29,05/05/22 12:31,IP Address,189.175.19.211,100,141,True,05/05/22 12:31,R_1OPMwXYfgtN8zyC,@00026,,25.6449,-100.311,email,ES-ES,"
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho",Sí,Sí,Me parece un proyecto muy bonito e integrador con el socio formador.,"
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","Estoy muy feliz con este servicio, creo que hasta cierto punto me ayudó hasta a relajarme de mis tareas y dedicar un poco de tiempo a una buena causa me hizo sentir muy bien.",Reconocimiento,27967,Taller de Alebrijes y grecas Zapotecas,"Tierra de Artistas, A.C.",202211,2,Regular
05/05/22 12:35,05/05/22 12:35,IP Address,131.178.102.152,100,40,True,05/05/22 12:35,R_2RX5ZVX143kyN3Q,@00027,,25.6449,-100.311,email,ES-ES,"
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho",Sí,Sí,Me gusto mucho!,"
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo",,,27951,ELIGE SUMAR,Emprendedores Líderes Generando la Evolución por México A.C. (Elige México),202211,2,Regular
05/05/22 12:43,05/05/22 12:45,IP Address,131.178.102.196,100,119,True,05/05/22 12:45,R_1pyUXpQX9QwfMfh,@00028,,25.6449,-100.311,email,ES-ES,"
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho", 3, 3, 4, 4,"
5 Muy Satisfecho",Sí,Sí,Está bastante interesante pero me gustaría que hubieran mas sesiones.,"
5 Totalmente de Acuerdo", 4, 4, 4,Está bastante bonito el taller de los telares.,Reconocimiento,27965,Taller de telares con técnicas artesanales oaxaqueñas,"Tierra de Artistas, A.C.",202211,2,Regular
05/05/22 12:59,05/05/22 13:00,IP Address,189.152.235.74,100,97,True,05/05/22 13:00,R_2P0YbVbZThHJZYC,@00029,,25.7072,-100.2825,email,ES-ES,"
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho",Sí,Sí,Todo excelente,"
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo",,,27961,Celebrando 6 años de Servicio con CIDEPO,"CIDEPO, Centro de Investigación y Desarrollo de Políticas Públicas, A.C.",202211,2,Regular
05/05/22 13:39,05/05/22 13:44,IP Address,131.178.102.200,100,296,True,05/05/22 13:44,R_3Rxf6E9A9KOcaPD,@00030,,25.6449,-100.311,email,ES-ES,"
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho", 4,"
5 Muy Satisfecho","
5 Muy Satisfecho","
5 Muy Satisfecho",Sí,Sí,Excelente proyecto de servicio social me gustaría que hubiera más opciones de talleres con los artesanos,"
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","
5 Totalmente de Acuerdo","Es muy importante conocer la cultura de diferentes estados de nuestro país, y me parece muy interesante la manera en que el socio formador ha creado una iniciativa que ayuda principalmente a la economía de los artesanos, pero más que nada la oportunidad que tenemos nosotros como alumnos de aprender a realizar artesanías muy importantes de varias comunidades",Reconocimiento,27965,Taller de telares con técnicas artesanales oaxaqueñas,"Tierra de Artistas, A.C.",202211,2,Regular
